2023-07-11 23:27:31
"I'm not convinced, why is this important?","The importance of a topic or argument can be subjective and vary from person to person. However, there are a few reasons why something may be considered important:

1. Expert consensus: If there is a strong consensus among experts in a particular field, it can be a compelling reason to consider a topic important [f, n]. Expert consensus is often based on extensive research, evidence, and rigorous analysis.

2. Potential consequences: The potential consequences of a particular issue or event can also contribute to its importance. For example, if the topic at hand has the potential to significantly impact society, the environment, or individual well-being, it may be considered important [c, g].

3. Personal values and beliefs: People may consider a topic important based on their personal values and beliefs. If a particular issue aligns with one's core values or has a direct impact on their life, they may view it as important [c, l].

4. Future implications: Some topics may be considered important due to their potential future implications. For instance, the development of advanced artificial general intelligence (AGI) has raised concerns about its impact on society and the need for alignment and safety measures [c, g].

It's worth noting that importance is not always a binary distinction. Different individuals may assign different levels of importance to the same topic based on their own perspectives and priorities."
a,I Really Don’t Understand Eliezer Yudkowsky’s Position on Consciousness --- Jemist --- 2021-10-29 --- https://www.lesswrong.com/posts/KFbGbTEtHiJnXw5sk/i-really-don-t-understand-eliezer-yudkowsky-s-position-on
b,"Conjunction Controversy (Or, How They Nail It Down) --- Eliezer Yudkowsky --- 2007-09-20 --- https://www.lesswrong.com/posts/cXzTpSiCrNGzeoRAz/conjunction-controversy-or-how-they-nail-it-down"
c,AIRCS Workshop: How I failed to be recruited at MIRI. --- ArthurRainbow --- 2020-01-07 --- https://www.lesswrong.com/posts/EYhWxoaCK2YSpTei9/aircs-workshop-how-i-failed-to-be-recruited-at-miri
d,Is voting theory important? An attempt to check my bias. --- Jameson Quinn --- 2019-02-17 --- https://www.lesswrong.com/posts/Bb7AYRypzpY7GYkdH/is-voting-theory-important-an-attempt-to-check-my-bias
e,Mana --- Ziz --- 2017-12-20 --- https://www.lesswrong.com/posts/39aKPedxHYEfusDWo/mana
f,Rationality when Insulated from Evidence --- JustinMElms --- 2016-06-29 --- https://www.lesswrong.com/posts/huz9YXsQK9cCBc6m8/rationality-when-insulated-from-evidence
g,Are we living at the hinge of history? --- William MacAskill
h,Swimming in Reasons --- steven0461 --- 2010-04-10 --- https://www.lesswrong.com/posts/Px662ScmbiG6BhF5R/swimming-in-reasons
i,"AI Foom Debate --- Robin Hanson, Eliezer Yudkowsky --- 2013-01-01"
j,Is requires ought --- jessicata --- 2019-10-28 --- https://www.lesswrong.com/posts/Knc6wkW6yzD8o5L3c/is-requires-ought
k,Three enigmas at the heart of our reasoning --- Alex Flint --- 2021-09-21 --- https://www.lesswrong.com/posts/k7qHyGXjdjB6oKiWc/three-enigmas-at-the-heart-of-our-reasoning
l,Why do you really believe what you believe regarding controversial subjects? --- iarwain1 --- 2015-01-04 --- https://www.lesswrong.com/posts/FYRGgxtueHvAEsg4X/why-do-you-really-believe-what-you-believe-regarding
m,Yes Requires the Possibility of No --- Scott Garrabrant --- 2019-05-17 --- https://www.lesswrong.com/posts/G5TwJ9BGxcgh5DsmQ/yes-requires-the-possibility-of-no
n,"On Robin Hanson’s ""Social Proof, but of What?"" --- Zvi --- 2020-12-20 --- https://www.lesswrong.com/posts/NAXMqWzCxqkuwif3v/on-robin-hanson-s-social-proof-but-of-what"
