2023-07-08 15:14:15
"I'm not convinced, why is this important?","The importance of AI Alignment and Safety lies in the potential existential threat posed by advanced artificial general intelligence (AGI) [c]. AGI refers to highly autonomous systems that outperform humans in most economically valuable work [c]. If AGI is not properly aligned with human values and goals, it could lead to unintended consequences and potentially catastrophic outcomes [c].

The urgency of addressing AI Alignment and Safety arises from the potential for AGI to surpass human capabilities and become a powerful force that could shape the future of humanity [c]. Without proper precautions, AGI could lead to outcomes that are misaligned with human values, resulting in scenarios that are harmful or even catastrophic for humanity [c].

It is crucial to act soon because once AGI is developed, it may become increasingly difficult to ensure its alignment with human values [c]. The development of AGI is a complex and challenging task, and there is a risk that it could be pursued without sufficient attention to safety measures [c]. By prioritizing AI Alignment and Safety, we can work towards mitigating risks and ensuring that AGI is developed in a way that aligns with human values and safeguards our well-being [c].

In summary, the importance of AI Alignment and Safety lies in the potential existential risks associated with AGI and the need to ensure that AGI is developed in a way that aligns with human values and goals [c]. Acting soon is imperative to address these risks and safeguard the future of humanity [c]."
a,I Really Don’t Understand Eliezer Yudkowsky’s Position on Consciousness --- Jemist --- 2021-10-29 --- https://www.lesswrong.com/posts/KFbGbTEtHiJnXw5sk/i-really-don-t-understand-eliezer-yudkowsky-s-position-on
b,"Conjunction Controversy (Or, How They Nail It Down) --- Eliezer Yudkowsky --- 2007-09-20 --- https://www.lesswrong.com/posts/cXzTpSiCrNGzeoRAz/conjunction-controversy-or-how-they-nail-it-down"
c,AIRCS Workshop: How I failed to be recruited at MIRI. --- ArthurRainbow --- 2020-01-07 --- https://www.lesswrong.com/posts/EYhWxoaCK2YSpTei9/aircs-workshop-how-i-failed-to-be-recruited-at-miri
d,Is voting theory important? An attempt to check my bias. --- Jameson Quinn --- 2019-02-17 --- https://www.lesswrong.com/posts/Bb7AYRypzpY7GYkdH/is-voting-theory-important-an-attempt-to-check-my-bias
e,Mana --- Ziz --- 2017-12-20 --- https://www.lesswrong.com/posts/39aKPedxHYEfusDWo/mana
f,Rationality when Insulated from Evidence --- JustinMElms --- 2016-06-29 --- https://www.lesswrong.com/posts/huz9YXsQK9cCBc6m8/rationality-when-insulated-from-evidence
g,Are we living at the hinge of history? --- William MacAskill
h,Swimming in Reasons --- steven0461 --- 2010-04-10 --- https://www.lesswrong.com/posts/Px662ScmbiG6BhF5R/swimming-in-reasons
i,"AI Foom Debate --- Robin Hanson, Eliezer Yudkowsky --- 2013-01-01"
"What are ""scaling laws"" and how are they relevant to safety?","Scaling laws refer to the relationship between the size or scale of a system and its performance or behavior. In the context of AI, scaling laws have been observed in various domains, such as image recognition and language models [b, c]. For example, in image recognition, increasing the size of a model by an order of magnitude may result in a decrease in accuracy by a certain fraction [c]. These scaling laws are relevant to safety because they provide insights into how AI systems may behave as they scale up in size, complexity, and capabilities.

Understanding scaling laws is crucial for AI safety because it allows us to anticipate and mitigate potential risks and challenges associated with the development and deployment of advanced AI systems. By studying the behavior of smaller, more manageable models, researchers can extrapolate the behavior of larger, more powerful models without having to explicitly train them [b]. This approach enables us to gain insights into the safety implications of scaling up AI systems and make informed decisions to ensure their alignment with human values and objectives.

Moreover, improving the scaling laws of safety relative to capabilities is an important objective of AI safety research [a]. By investing in multiple researchers who can potentially produce breakthroughs in scaling laws, we can enhance the safety of AI systems and mitigate the risks associated with their increasing capabilities [a]. It is essential to prioritize the social aspects of safety, including the willingness of executives to allocate resources for safety research and development [a]. Acting soon and dedicating sustained effort to understanding and controlling scaling laws is imperative to ensure the safe and beneficial development of AI [d]."
a,Perform Tractable Research While Avoiding Capabilities Externalities [Pragmatic AI Safety #4] --- Dan Hendrycks --- 2022-05-30 --- https://www.lesswrong.com/posts/dfRtxWcFDupfWpLQo/perform-tractable-research-while-avoiding-capabilities
b,Scaling Scaling Laws with Board Games --- Andy L. Jones --- 2021-04-07 --- http://arxiv.org/abs/2104.03113v2
c,"Andy Jones - AI Safety and the Scaling Hypothesis-by Towards Data Science-video_ --- Andy Jones, Jeremie Harris"
d,"Explaining Neural Scaling Laws --- Yasaman Bahri, Ethan Dyer, Jared Kaplan, Jaehoon Lee, Utkarsh Sharma --- 2021-02-12 --- http://arxiv.org/abs/2102.06701v1"
e,"Scaling Laws for Neural Language Models --- Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, A --- 2020-01-23 --- http://arxiv.org/abs/2001.08361v1"
